,key,item_type,pub_yr,author,title,pub_title,doi,url,study_included,model_code_available,reporting_guidelines_mention,covid,sim_software,foss_sim,model_archive,model_repo,model_journal_supp,model_journal_supp,model_personal_org,model_platform,available_on_req,excluded_reason
14,9BK2D297,journalArticle,2021,"Yousefli, Z.; Nasiri, F.; Moselhi, O.",Application of Multiagent Simulation for Maintenance Workflow Management and Resource Allocation in Hospital Buildings,Journal of Architectural Engineering,10.1061/(ASCE)AE.1943-5568.0000459,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100699175&doi=10.1061%2f%28ASCE%29AE.1943-5568.0000459&partnerID=40&md5=e3410a8ac11ba2d35ed40653fd31dfde,1,0.0,None,0.0,AnyLogic,0,,,,,,,,
15,PVES49PL,journalArticle,2021,"Melman, G.J.; Parlikad, A.K.; Cameron, E.A.B.",Balancing scarce hospital resources during the COVID-19 pandemic using discrete-event simulation,Health Care Management Science,10.1007/s10729-021-09548-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104146869&doi=10.1007%2fs10729-021-09548-2&partnerID=40&md5=48faff0b9cf51133a03d7f43f0928dd1,1,1.0,None,1.0,Arena,0,Research Square;,,,,,,,
16,XQMVQ3CE,journalArticle,2021,"Qureshi, S.M.; Purdy, N.; Neumann, W.P.",Developing a modelling approach to quantify quality of care and nurse workload — Field validation study,Operations Research for Health Care,10.1016/j.orhc.2021.100301,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104799750&doi=10.1016%2fj.orhc.2021.100301&partnerID=40&md5=dcbb8836d4ef0e9396cace11d268488c,1,0.0,None,0.0,Arena,0,,,,,,,,
17,8UI82Z99,journalArticle,2021,"Yang, M.; Bishop, A.; Sussex, J.; Roland, M.; Jowett, S.; Wilson, E.C.F.",Economic evaluation of patient direct access to NHS physiotherapy services,Physiotherapy (United Kingdom),10.1016/j.physio.2020.12.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105261536&doi=10.1016%2fj.physio.2020.12.005&partnerID=40&md5=86b4af62e129227457f41ec83c25d6f1,1,0.0,None,0.0,R Simmer,1,,,,,,,,
18,WPD3VGWT,journalArticle,2021,"Kim, L.G.; Sweeting, M.J.; Armer, M.; Jacomelli, J.; Nasim, A.; Harrison, S.C.",Modelling the impact of changes to abdominal aortic aneurysm screening and treatment services in England during the COVID-19 pandemic,PLoS ONE,10.1371/journal.pone.0253327,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107921726&doi=10.1371%2fjournal.pone.0253327&partnerID=40&md5=43021113a0f3be39693af221b9908ebc,1,1.0,None,1.0,R,1,,GitHub,,,,,,
19,448JCUXM,conferencePaper,2021,"Kuncová, M.; Svitková, K.; Vacková, A.; Vaňková, M.",Discrete event simulation of the COVID-19 sample collection point operation,"Proceedings - European Council for Modelling and Simulation, ECMS",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108221654&partnerID=40&md5=ee96ef235762200b2afb697d80590c2d,1,0.0,None,1.0,Simul8,0,,,,,,,,
20,8RNMY55H,journalArticle,2021,"Saidani, M.; Kim, H.; Kim, J.",Designing optimal COVID-19 testing stations locally: A discrete event simulation model applied on a university campus,PLoS ONE,10.1371/journal.pone.0253869,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108945686&doi=10.1371%2fjournal.pone.0253869&partnerID=40&md5=88d1d00192e1a4511cbd906b2ff32d0e,1,1.0,STRESS,1.0,AnyLogic,0,,,File,File,,,,
21,23TU4TAA,journalArticle,2021,"Pradelli, L.; Klek, S.; Mayer, K.; Omar Alsaleh, A.J.; Rosenthal, M.D.; Heller, A.R.; Muscaritoli, M.",Cost-Effectiveness of Parenteral Nutrition Containing ω-3 Fatty Acids in Hospitalized Adult Patients From 5 European Countries and the US,Journal of Parenteral and Enteral Nutrition,10.1002/jpen.1972,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089490807&doi=10.1002%2fjpen.1972&partnerID=40&md5=c7d340bb618f0c469632f365af653c7e,1,0.0,None,1.0,Excel,0,,,,,,,,
22,YSWS29VK,journalArticle,2021,"Kampmeier, T.; Rehberg, S.; Omar Alsaleh, A.J.; Schraag, S.; Pham, J.; Westphal, M.",Cost-Effectiveness of Propofol (Diprivan) Versus Inhalational Anesthetics to Maintain General Anesthesia in Noncardiac Surgery in the United States,Value in Health,10.1016/j.jval.2021.01.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103573725&doi=10.1016%2fj.jval.2021.01.008&partnerID=40&md5=f904af3a8574a9a0e7fc05d8babfa5a8,1,0.0,None,0.0,Excel,0,,,,,,,,
23,AFY7STEL,journalArticle,2021,"El Hage, J.; Gravitt, P.; Ravel, J.; Lahrichi, N.; Gralla, E.",Supporting scale-up of COVID-19 RT-PCR testing processes with discrete event simulation,PLoS ONE,10.1371/journal.pone.0255214,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111499942&doi=10.1371%2fjournal.pone.0255214&partnerID=40&md5=2b13a5d270417418e6367ec0f28d34ed,1,0.0,None,1.0,Simio,0,,,,,,,,
24,QGXDVZUY,journalArticle,2021,"Mielczarek, B.",A simulation approach to evaluate the effect of demographic changes on projected number of patients across disease categories,Journal of Computational Science,10.1016/j.jocs.2021.101393,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107091656&doi=10.1016%2fj.jocs.2021.101393&partnerID=40&md5=cd24d81a71467ef05db987485d8aab8f,1,0.0,None,0.0,Arena,0,,,,,,,,
25,XIRV2VYM,journalArticle,2021,"Liu, D.; Geng, N.",Appointment Scheduling for Health Examination Customers Based on Two-stage Stochastic Simulation Optimization Algorithm,Jisuanji Gongcheng/Computer Engineering,10.19678/j.issn.1000-3428.0058211,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132808731&doi=10.19678%2fj.issn.1000-3428.0058211&partnerID=40&md5=d260fd270969609bf28c5d99553019c9,0,,,,,,,,,,,,,Not English
26,U9BBBXNT,conferencePaper,2021,"Bartz-Beielstein, T.; Dröscher, M.; Gür, A.; Hinterleitner, A.; Mersmann, O.; Peeva, D.; Reese, L.; Rehbach, N.; Rehbach, F.; Sen, A.; Subbotin, A.; Zaefferer, M.",Resource planning for hospitals under special consideration of the COVID-19 pandemic: Optimization and sensitivity analysis,GECCO 2021 Companion - Proceedings of the 2021 Genetic and Evolutionary Computation Conference Companion,10.1145/3449726.3459473,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111014042&doi=10.1145%2f3449726.3459473&partnerID=40&md5=c14776ebb61ab3882f9a4fa061ec6c60,1,1.0,None,1.0,R Simmer,1,,CRAN,,,,,,
27,34HS7I9G,journalArticle,2021,"Pennington, B.; Alshreef, A.; Flight, L.; Metry, A.; Poku, E.; Hykin, P.; Sivaprasad, S.; Prevost, A.T.; Vasconcelos, J.C.; Murphy, C.; Kelly, J.; Yang, Y.; Lotery, A.; Williams, M.; Brazier, J.",Cost Effectiveness of Ranibizumab vs Aflibercept vs Bevacizumab for the Treatment of Macular Oedema Due to Central Retinal Vein Occlusion: The LEAVO Study,PharmacoEconomics,10.1007/s40273-021-01026-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105334858&doi=10.1007%2fs40273-021-01026-5&partnerID=40&md5=797b0e48e4be0a4ba58c409cc408cf63,1,0.0,None,0.0,Unknown,Unknown,,,,,,,,
28,3Y9CX9WJ,journalArticle,2021,"Bardet, A.; Fraslin, A.M.; Marghadi, J.; Borget, I.; Faron, M.; Honoré, C.; Delaloge, S.; Albiges, L.; Planchard, D.; Ducreux, M.; Hadoux, J.; Colomba, E.; Robert, C.; Bouhir, S.; Massard, C.; Micol, J.-B.; Ter-Minassian, L.; Michiels, S.; Auperin, A.; Barlesi, F.; Bonastre, J.",Impact of COVID-19 on healthcare organisation and cancer outcomes,European Journal of Cancer,10.1016/j.ejca.2021.05.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109178173&doi=10.1016%2fj.ejca.2021.05.012&partnerID=40&md5=3c96986ffdd04bd74cc5492233477c23,1,0.0,None,1.0,R Simmer,1,,,,,,,,
29,3JI68FDM,journalArticle,2021,"Hoogendoorn, M.; Corro Ramos, I.; Soulard, S.; Cook, J.; Soini, E.; Paulsson, E.; Rutten-Van Mölken, M.","Cost-effectiveness of the fixed-dose combination tiotropium/olodaterol versus tiotropium monotherapy or a fixed-dose combination of long-acting β2-agonist/inhaled corticosteroid for COPD in Finland, Sweden and the Netherlands: A model-based study",BMJ Open,10.1136/bmjopen-2021-049675,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113136973&doi=10.1136%2fbmjopen-2021-049675&partnerID=40&md5=7e595602cafb1bb2a05fa85f47ed6439,1,0.0,None,0.0,R,1,,,,,,,,
30,APDEHUJI,journalArticle,2021,"Hejazi, T.-H.",State-dependent resource reallocation plan for health care systems: A simulation optimization approach,Computers and Industrial Engineering,10.1016/j.cie.2021.107502,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108825061&doi=10.1016%2fj.cie.2021.107502&partnerID=40&md5=86f83489456191c453ff6a16ee0243ee,1,0.0,None,0.0,Arena,0,,,,,,,,
31,CMDFUMP3,conferencePaper,2021,"Lu, Y.; Guan, Y.; Zhong, X.; Fishe, J.N.; Hogan, T.",Hospital Beds Planning and Admission Control Policies for COVID-19 Pandemic: A Hybrid Computer Simulation Approach,IEEE International Conference on Automation Science and Engineering,10.1109/CASE49439.2021.9551589,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116996604&doi=10.1109%2fCASE49439.2021.9551589&partnerID=40&md5=20f20bb4c266c255ceb15b6695bbd56b,1,0.0,None,1.0,Arena,0,,,,,,,,
32,CBQ9DGPM,journalArticle,2021,"Vanbrabant, L.; Braekers, K.; Ramaekers, K.",Improving emergency department performance by revising the patient–physician assignment process,Flexible Services and Manufacturing Journal,10.1007/s10696-020-09388-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086674257&doi=10.1007%2fs10696-020-09388-2&partnerID=40&md5=a87e27aa8eac9535f16cf76bb178c575,1,0.0,None,0.0,Arena,0,,,,,,,,
33,RTGTKZ64,journalArticle,2021,"Sun, Y.; Raghavan, U.N.; Vaze, V.; Hall, C.S.; Doyle, P.; Richard, S.S.; Wald, C.",Stochastic programming for outpatient scheduling with flexible inpatient exam accommodation,Health Care Management Science,10.1007/s10729-020-09527-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098778522&doi=10.1007%2fs10729-020-09527-z&partnerID=40&md5=b55fa59394b2247f95bf1ebd7539f19c,1,0.0,None,0.0,Arena,0,,,,,,,,
34,885PP2IR,journalArticle,2021,"Zehrouni, A.; Augusto, V.; Garaix, T.; Phan, R.; Xie, X.; Denis, S.; Gentile, M.",Hospital flood emergency management planning using Markov models and discrete-event simulation,Operations Research for Health Care,10.1016/j.orhc.2021.100310,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114380397&doi=10.1016%2fj.orhc.2021.100310&partnerID=40&md5=e546320036a3678b8d53d1720d9b227e,1,0.0,None,0.0,AnyLogic,0,,,,,,,,
35,Q676DAZQ,journalArticle,2021,"Zimmerman, S.L.; Bi, A.; Dallow, T.; Rutherford, A.R.; Stephen, T.; Bye, C.; Hall, D.; Day, A.; Latham, N.; Vasarhelyi, K.",Optimising nurse schedules at a community health centre,Operations Research for Health Care,10.1016/j.orhc.2021.100308,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110680973&doi=10.1016%2fj.orhc.2021.100308&partnerID=40&md5=29567d7517318edff5719d6e6af775c9,1,0.0,None,0.0,AnyLogic,0,,,,,,,,
36,92E48SG6,journalArticle,2021,"Ordu, M.; Demir, E.; Davari, S.",A hybrid analytical model for an entire hospital resource optimisation,Soft Computing,10.1007/s00500-021-06072-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111651152&doi=10.1007%2fs00500-021-06072-x&partnerID=40&md5=cd7704f6be42834050167694a804f885,1,0.0,None,0.0,Simul8,0,,,,,,,,
37,YQ8FUKSA,journalArticle,2021,"Demir, E.; Adeyemi, S.; Kengne, A.P.; Kayode, G.A.; Adeoti, A.",HIV-MSS: A user-friendly management support system for better planning of HIV care services,International Journal of Health Planning and Management,10.1002/hpm.3268,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114760210&doi=10.1002%2fhpm.3268&partnerID=40&md5=1a9113d77394af3d5d4c306cae7d1083,1,0.0,None,0.0,Unknown,Unknown,,,,,,,,
38,ZCEG52P2,journalArticle,2021,"Adeoti, A.O.; Demir, E.; Adeyemi, S.; Yakutcan, U.; Kengne, A.P.; Kayode, G.; Aliyu, A.; Idika, N.; Isichei, C.",Impact of pre-exposure and post-exposure prophylaxes prevention programme on hiv burden and services in a low-resource setting: A simulation modelling approach,Pan African Medical Journal,10.11604/pamj.2021.40.163.26486,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121304629&doi=10.11604%2fpamj.2021.40.163.26486&partnerID=40&md5=866f58e0c920614601b76e251f42bc93,1,0.0,None,0.0,Java,1,,,,,,,,
39,25XLI52D,conferencePaper,2021,"Possik, J.; Gorecki, S.; Asgary, A.; Solis, A.O.; Zacharewicz, G.; Tofighi, M.; Shafiee, M.A.; Merchant, A.A.; Aarabi, M.; Guimaraes, A.; Nadri, N.",A Distributed Simulation Approach to Integrate AnyLogic and Unity for Virtual Reality Applications: Case of COVID-19 Modelling and Training in a Dialysis Unit,"Proceedings of the 2021 IEEE/ACM 25th International Symposium on Distributed Simulation and Real Time Applications, DS-RT 2021",10.1109/DS-RT52167.2021.9576149,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119097171&doi=10.1109%2fDS-RT52167.2021.9576149&partnerID=40&md5=b4d22393a07f089aed2b3730ad5a90ba,1,0.0,None,0.0,AnyLogic,0,,,,,,,,
40,HRLNRB7A,journalArticle,2021,"Zander, A.; Nickel, S.; Vanberkel, P.",Managing the intake of new patients into a physician panel over time,European Journal of Operational Research,10.1016/j.ejor.2021.01.035,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101393175&doi=10.1016%2fj.ejor.2021.01.035&partnerID=40&md5=da7656498cd91f97a4321daeda6988ee,1,0.0,None,0.0,AnyLogic,0,,,,,,,,
41,2BN8M9ER,journalArticle,2021,"Albuquerque de Almeida, F.; Corro Ramos, I.; Rutten-van Mölken, M.; Al, M.",Modeling Early Warning Systems: Construction and Validation of a Discrete Event Simulation Model for Heart Failure,Value in Health,10.1016/j.jval.2021.04.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107070735&doi=10.1016%2fj.jval.2021.04.004&partnerID=40&md5=e743db4d121ec51ae93aaa191dd362fa,1,1.0,None,0.0,R,1,,GitHub,,,,,,
42,MRIY48SD,journalArticle,2021,"Rocha, Í.J.A.; Vasconcelos, C.R.",Lean healthcare implications in an occupational medicine clinic,International Journal of Lean Six Sigma,10.1108/IJLSS-05-2020-0056,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100533057&doi=10.1108%2fIJLSS-05-2020-0056&partnerID=40&md5=250fd26c2bdf8524849d890f8132018b,1,0.0,None,0.0,Arena,0,,,,,,,,
43,YISS8VYN,journalArticle,2021,"von der Embse, N.; Jenkins, A.S.; Christensen, K.; Kilgus, S.; Mishra, M.; Chin, B.",Evaluating the Cost of Prevention Programming and Universal Screening with Discrete Event Simulation,Administration and Policy in Mental Health and Mental Health Services Research,10.1007/s10488-021-01108-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100015500&doi=10.1007%2fs10488-021-01108-8&partnerID=40&md5=2e3f9fee834a14dec257022066b5a83b,1,0.0,None,0.0,Salabim,1,,,,,,,,
44,CNJLZEV7,journalArticle,2021,"Doneda, M.; Yalçındağ, S.; Marques, I.; Lanzarone, E.",A discrete-event simulation model for analysing and improving operations in a blood donation centre,Vox Sanguinis,10.1111/vox.13111,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105185668&doi=10.1111%2fvox.13111&partnerID=40&md5=d4a22a5df98de59baab23be93ef3846e,1,0.0,None,0.0,FlexSim,0,,,,,,,,
45,GFCT6NLR,journalArticle,2021,"Asgary, A.; Najafabadi, M.M.; Wendel, S.K.; Resnick-Ault, D.; Zane, R.D.; Wu, J.",Optimizing planning and design of COVID-19 drive-through mass vaccination clinics by simulation,Health and Technology,10.1007/s12553-021-00594-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116415178&doi=10.1007%2fs12553-021-00594-y&partnerID=40&md5=3e22374ae5e39c628f72a5c9979d79e8,1,0.0,None,1.0,AnyLogic,0,,,,,,,,
46,5NPI4G7Y,journalArticle,2021,"Niazi, M.; Raissi Dehkordi, M.; Eghbali, M.; Samadian, D.",Seismic resilience index evaluation for healthcare facilities: A case study of hospital in Tehran,International Journal of Disaster Risk Reduction,10.1016/j.ijdrr.2021.102639,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117562347&doi=10.1016%2fj.ijdrr.2021.102639&partnerID=40&md5=fd18a5ab3cc971e5e0bd3423c966cc84,1,0.0,None,0.0,AnyLogic,0,,,,,,,,
47,M4XWJ2TI,journalArticle,2021,"Kang, B.G.; Park, H.-M.; Jang, M.; Seo, K.-M.",Hybrid model-based simulation analysis on the effects of social distancing policy of the COVID-19 epidemic,International Journal of Environmental Research and Public Health,10.3390/ijerph182111264,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117940905&doi=10.3390%2fijerph182111264&partnerID=40&md5=b335e32c0b22dc6f9bc611946eaa628a,1,0.0,None,0.0,DEVSim++,Unknown,,,,,,,,
48,LYPT7TSE,journalArticle,2021,"Kim, J.; Lim, H.; Ahn, J.-H.; Lee, K.H.; Lee, K.S.; Koo, K.C.",Optimal triage for covid-19 patients under limited health care resources with a parsimonious machine learning prediction model and threshold optimization using discrete-event simulation: Development study,JMIR Medical Informatics,10.2196/32726,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118935480&doi=10.2196%2f32726&partnerID=40&md5=b701ac6e84e729b50c83fc73a64f7a38,1,1.0,None,1.0,R Simmer,1,,GitHub,,,,,,
49,9TLG5AY6,journalArticle,2021,"Tofighi, M.; Asgary, A.; Merchant, A.A.; Shafiee, M.A.; Najafabadi, M.M.; Nadri, N.; Aarabi, M.; Heffernan, J.; Wu, J.",Modelling COVID-19 transmission in a hemodialysis centre using simulation generated contacts matrices,PLoS ONE,10.1371/journal.pone.0259970,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120004817&doi=10.1371%2fjournal.pone.0259970&partnerID=40&md5=11a8e287a610c07d260c304ea9f26a04,1,0.0,None,1.0,AnyLogic,0,,,,,,,,
50,CIH65Z6S,journalArticle,2021,"Demirli, K.; Al Kaf, A.; Simsekler, M.C.E.; Jayaraman, R.; Khan, M.J.; Tuzcu, E.M.",Using lean techniques and discrete-event simulation for performance improvement in an outpatient clinic,International Journal of Lean Six Sigma,10.1108/IJLSS-09-2020-0138,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111743593&doi=10.1108%2fIJLSS-09-2020-0138&partnerID=40&md5=bccb5b16d1fb6717fa6d19ce9bf952a5,1,0.0,None,0.0,Unknown,Unknown,,,,,,,,
51,JZI8KRJJ,journalArticle,2021,"Ghayoomi, H.; Laskey, K.; Miller-Hooks, E.; Hooks, C.; Tariverdi, M.",Assessing resilience of hospitals to cyberattack,Digital Health,10.1177/20552076211059366,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120318755&doi=10.1177%2f20552076211059366&partnerID=40&md5=9251c6c84017d7c23f67e3bcf498de92,1,0.0,None,0.0,ExtendSim,0,,,,,,,,
52,RF97JN2E,journalArticle,2021,"Tieskens, K.F.; Milando, C.W.; Underhill, L.J.; Vermeer, K.; Levy, J.I.; Fabian, M.P.",The impact of energy retrofits on pediatric asthma exacerbation in a Boston multi-family housing complex: a systems science approach,Environmental Health: A Global Access Science Source,10.1186/s12940-021-00699-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100848376&doi=10.1186%2fs12940-021-00699-x&partnerID=40&md5=b5363eb6c512524e89301fdac892dbb0,1,0.0,None,0.0,R,1,,,,,,,,
